system_size,hilbert_space_size,U,optimized_overlap,baseline_overlap,overlap_ratio
"$3\times 2\;(2,2)$",39,0.5,0.9999999994006403,0.4999089971486379,2.000364076470723
"$3\times 2\;(2,2)$",39,0.75,0.999999999935925,0.49963644355803005,2.0014552837953272
"$3\times 2\;(2,2)$",39,1.0,0.9999999999675775,0.4991838606045542,2.003269894897027
"$3\times 2\;(2,2)$",39,1.25,0.9999999999963833,0.4985538653237518,2.0058013176710636
"$3\times 2\;(2,2)$",39,1.5,0.9999999999993912,0.4977501266477721,2.0090401718913697
"$3\times 2\;(2,2)$",39,1.75,0.9999999999995446,0.496777304789362,2.0129744059534955
"$3\times 2\;(2,2)$",39,2.0,0.9999999999999025,0.4956409757158593,2.017589442752574
"$3\times 2\;(2,2)$",39,2.25,0.9999999999999407,0.49434754306802897,2.022868352482794
"$3\times 2\;(2,2)$",39,2.5,0.9999999999998175,0.4929041401713754,2.0287920479875305
"$3\times 2\;(2,2)$",39,2.75,0.9999999999999141,0.49131852495339856,2.035339498128559
"$3\times 2\;(2,2)$",39,3.0,0.9999999999999052,0.48959897061948043,2.04248795444693
"$3\times 2\;(2,2)$",39,3.25,0.999999999999835,0.4877541548609772,2.0502131863640636
"$3\times 2\;(2,2)$",39,3.5,0.9999999999998799,0.4857930501865322,2.0584897202953094
"$3\times 2\;(2,2)$",39,3.75,0.9999999999999414,0.48372481770123743,2.0672910783286924
"$3\times 2\;(2,2)$",39,4.0,0.9999999999998492,0.4815587063303891,2.076590012503619
"$3\times 2\;(2,2)$",39,4.25,0.9999999999999873,0.47930395911837054,2.086358731188832
"$3\times 2\;(2,2)$",39,4.5,0.999999999999962,0.4769697278508014,2.0965691145765275
"$3\times 2\;(2,2)$",39,4.75,0.9999999999999878,0.474564996869393,2.1071929168749923
"$3\times 2\;(2,2)$",39,5.0,0.9999999999999742,0.47209851659048063,2.118201953316915
"$3\times 2\;(2,2)$",39,5.25,0.999999999999962,0.46957874691269585,2.129568270656598
"$3\times 2\;(2,2)$",39,5.5,0.9999999999999538,0.46701381041553547,2.141264300321617
"$3\times 2\;(2,2)$",39,5.75,0.9999999999999742,0.46441145501367154,2.1532629938478496
"$3\times 2\;(2,2)$",39,6.0,0.9999999999999909,0.46177902554348405,2.165537940626592
"$3\times 2\;(2,2)$",39,6.25,0.9999999999999512,0.45912344361745294,2.1780634683363345
"$3\times 2\;(2,2)$",39,6.5,0.9999999999999851,0.45645119498554343,2.190814726712802
"$3\times 2\;(2,2)$",39,6.75,0.9999999999999842,0.45376832358601193,2.203767755530502
"$3\times 2\;(2,2)$",39,7.0,0.9999999999999847,0.451080431445557,2.2168995378392498
"$3\times 2\;(2,2)$",39,7.25,0.9999999999999789,0.4483926835946547,2.230188039606764
"$3\times 2\;(2,2)$",39,7.5,0.9999999999999789,0.44570981719227265,2.24361223699184
"$3\times 2\;(2,2)$",39,7.75,0.9999999999999776,0.44303615409952557,2.2571521324991757
"$3\times 2\;(2,2)$",39,8.0,0.9999999999999896,0.44037561619905796,2.270788761265045
"$3\times 2\;(2,2)$",39,8.25,0.9999999999999782,0.4377317428217713,2.2845041886924395
"$3\times 2\;(2,2)$",39,8.5,0.9999999999999822,0.4351077097111685,2.298281500605444
"$3\times 2\;(2,2)$",39,8.75,0.99999999999998,0.4325063490251536,2.3121047870255014
"$3\times 2\;(2,2)$",39,9.0,0.9999999999999714,0.42993016994324373,2.3259591205985477
"$3\times 2\;(2,2)$",39,9.25,0.9999999999999887,0.4273813795121164,2.339830530617767
"$3\times 2\;(2,2)$",39,9.5,0.9999999999999711,0.4248619034230201,2.3537059735014796
"$3\times 2\;(2,2)$",39,9.75,0.9999999999999858,0.4223734064700355,2.3675733005007
"$3\times 2\;(2,2)$",39,10.0,0.999999999999978,0.41991731248812414,2.381421223323007
"$3\times 2\;(2,2)$",39,10.25,0.9999999999999585,0.4174948236141496,2.395239278281837
"$3\times 2\;(2,2)$",39,10.5,0.9999999999999853,0.4151069387527586,2.409017789499284
"$3\times 2\;(2,2)$",39,10.75,0.9999999999999876,0.41275447116234143,2.4227478316199154
"$3\times 2\;(2,2)$",39,11.0,0.9999999999999896,0.4104380651046574,2.4364211924276566
"$3\times 2\;(2,2)$",39,11.25,0.9999999999999902,0.40815821152547893,2.450030335693898
"$3\times 2\;(2,2)$",39,11.5,0.9999999999999891,0.40591526275325496,2.4635683645329256
"$3\times 2\;(2,2)$",39,11.75,0.9999999999999871,0.4037094462187566,2.4770289854900267
"$3\times 2\;(2,2)$",39,12.0,0.9999999999999856,0.40154087721141873,2.4904064735443288
"$3\times 2\;(2,2)$",39,12.25,0.9999999999999913,0.39940957069802563,2.503695638169981
