system_size,U,sparsity,overlap
"$3\times 2\;(2,2)$",8.0,0.02631578947368421,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.02631578947368421,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.02631578947368421,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.03508771929824561,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.03508771929824561,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.03508771929824561,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.03508771929824561,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.043859649122807015,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.043859649122807015,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.06140350877192982,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.07894736842105263,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.11403508771929824,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.13157894736842105,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.15789473684210525,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.19298245614035087,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.19298245614035087,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.20175438596491227,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.20175438596491227,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.20175438596491227,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.20175438596491227,0.9999999999999889
"$3\times 2\;(2,2)$",8.0,0.21052631578947367,0.999999999999855
"$3\times 2\;(2,2)$",8.0,0.21052631578947367,0.999999999999855
"$3\times 2\;(2,2)$",8.0,0.21052631578947367,0.999999999999855
"$3\times 2\;(2,2)$",8.0,0.21929824561403508,0.9999999994928543
"$3\times 2\;(2,2)$",8.0,0.21929824561403508,0.9999999994928543
"$3\times 2\;(2,2)$",8.0,0.22807017543859648,0.9999999994840316
