system_size,U,sparsity,overlap
"$3\times 2\;(2,2)$",0.5,NaN,0.95
"$3\times 2\;(2,2)$",0.75,NaN,0.95
"$3\times 2\;(2,2)$",1.0,1.66253662109375,0.95
"$3\times 2\;(2,2)$",1.25,1.45782470703125,0.95
"$3\times 2\;(2,2)$",1.5,1.333770751953125,0.95
"$3\times 2\;(2,2)$",1.75,1.252838134765625,0.95
"$3\times 2\;(2,2)$",2.0,1.1957550048828125,0.95
"$3\times 2\;(2,2)$",2.25,1.1573944091796875,0.95
"$3\times 2\;(2,2)$",2.5,1.12274169921875,0.95
"$3\times 2\;(2,2)$",2.75,1.094451904296875,0.95
"$3\times 2\;(2,2)$",3.0,1.071014404296875,0.95
"$3\times 2\;(2,2)$",3.25,1.0508270263671875,0.95
"$3\times 2\;(2,2)$",3.5,1.029541015625,0.95
"$3\times 2\;(2,2)$",3.75,1.0116424560546875,0.95
"$3\times 2\;(2,2)$",4.0,0.9951629638671875,0.95
"$3\times 2\;(2,2)$",4.25,0.9796905517578125,0.95
"$3\times 2\;(2,2)$",4.5,0.9626617431640625,0.95
"$3\times 2\;(2,2)$",4.75,0.9481964111328125,0.95
"$3\times 2\;(2,2)$",5.0,0.937347412109375,0.95
"$3\times 2\;(2,2)$",5.25,0.9229736328125,0.95
"$3\times 2\;(2,2)$",5.5,0.910888671875,0.95
"$3\times 2\;(2,2)$",5.75,0.8995819091796875,0.95
"$3\times 2\;(2,2)$",6.0,0.892852783203125,0.95
"$3\times 2\;(2,2)$",6.25,0.883514404296875,0.95
"$3\times 2\;(2,2)$",6.5,0.8768310546875,0.95
"$3\times 2\;(2,2)$",6.75,0.868133544921875,0.95
"$3\times 2\;(2,2)$",7.0,0.85943603515625,0.95
"$3\times 2\;(2,2)$",7.25,0.8522262573242188,0.95
"$3\times 2\;(2,2)$",7.5,0.845245361328125,0.95
"$3\times 2\;(2,2)$",7.75,0.840118408203125,0.95
"$3\times 2\;(2,2)$",8.0,0.8391571044921875,0.95
"$3\times 2\;(2,2)$",8.25,0.83197021484375,0.95
"$3\times 2\;(2,2)$",8.5,0.8278045654296875,0.95
"$3\times 2\;(2,2)$",8.75,0.8341217041015625,0.95
"$3\times 2\;(2,2)$",9.0,0.8278961181640625,0.95
"$3\times 2\;(2,2)$",9.25,0.8248519897460938,0.95
"$3\times 2\;(2,2)$",9.5,0.82208251953125,0.95
"$3\times 2\;(2,2)$",9.75,0.8206634521484375,0.95
"$3\times 2\;(2,2)$",10.0,0.8182144165039062,0.95
"$3\times 2\;(2,2)$",10.25,0.812835693359375,0.95
"$3\times 2\;(2,2)$",10.5,0.8107528686523438,0.95
"$3\times 2\;(2,2)$",10.75,0.8085098266601562,0.95
"$3\times 2\;(2,2)$",11.0,0.8065643310546875,0.95
"$3\times 2\;(2,2)$",11.25,0.808441162109375,0.95
"$3\times 2\;(2,2)$",11.5,0.8043212890625,0.95
"$3\times 2\;(2,2)$",11.75,0.8026275634765625,0.95
"$3\times 2\;(2,2)$",12.0,0.800933837890625,0.95
"$3\times 2\;(2,2)$",12.25,0.7996063232421875,0.95
"$3\times 2\;(2,2)$",12.5,0.7971572875976562,0.95
"$3\times 2\;(2,2)$",12.75,0.8049392700195312,0.95
"$3\times 2\;(2,2)$",13.0,0.8036346435546875,0.95
"$3\times 2\;(2,2)$",13.25,0.80194091796875,0.95
"$3\times 2\;(2,2)$",13.5,0.8005447387695312,0.95
"$3\times 2\;(2,2)$",13.75,0.7995834350585938,0.95
"$3\times 2\;(2,2)$",14.0,0.79827880859375,0.95
"$3\times 2\;(2,2)$",14.25,0.79864501953125,0.95
"$3\times 2\;(2,2)$",14.5,0.7974319458007812,0.95
"$3\times 2\;(2,2)$",14.75,0.7961044311523438,0.95
"$3\times 2\;(2,2)$",15.0,0.7941818237304688,0.95
"$3\times 2,\;(3,2)$",0.5,NaN,0.95
"$3\times 2,\;(3,2)$",0.75,NaN,0.95
"$3\times 2,\;(3,2)$",1.0,NaN,0.95
"$3\times 2,\;(3,2)$",1.25,NaN,0.95
"$3\times 2,\;(3,2)$",1.5,NaN,0.95
"$3\times 2,\;(3,2)$",1.75,NaN,0.95
"$3\times 2,\;(3,2)$",2.0,NaN,0.95
"$3\times 2,\;(3,2)$",2.25,1.2998046875,0.95
"$3\times 2,\;(3,2)$",2.5,1.1654052734375,0.95
"$3\times 2,\;(3,2)$",2.75,1.0445556640625,0.95
"$3\times 2,\;(3,2)$",3.0,0.96673583984375,0.95
"$3\times 2,\;(3,2)$",3.25,0.90704345703125,0.95
"$3\times 2,\;(3,2)$",3.5,0.87884521484375,0.95
"$3\times 2,\;(3,2)$",3.75,0.85321044921875,0.95
"$3\times 2,\;(3,2)$",4.0,0.828765869140625,0.95
"$3\times 2,\;(3,2)$",4.25,0.802032470703125,0.95
"$3\times 2,\;(3,2)$",4.5,0.788848876953125,0.95
"$3\times 2,\;(3,2)$",4.75,0.77593994140625,0.95
"$3\times 2,\;(3,2)$",5.0,0.77667236328125,0.95
"$3\times 2,\;(3,2)$",5.25,0.76165771484375,0.95
"$3\times 2,\;(3,2)$",5.5,0.7476043701171875,0.95
"$3\times 2,\;(3,2)$",5.75,0.7371673583984375,0.95
"$3\times 2,\;(3,2)$",6.0,0.7323150634765625,0.95
"$3\times 2,\;(3,2)$",6.25,0.741790771484375,0.95
"$3\times 2,\;(3,2)$",6.5,0.7323150634765625,0.95
"$3\times 2,\;(3,2)$",6.75,0.7295684814453125,0.95
"$3\times 2,\;(3,2)$",7.0,0.7253570556640625,0.95
"$3\times 2,\;(3,2)$",7.25,0.7128372192382812,0.95
"$3\times 2,\;(3,2)$",7.5,0.7096099853515625,0.95
"$3\times 2,\;(3,2)$",7.75,0.7146682739257812,0.95
"$3\times 2,\;(3,2)$",8.0,0.7112579345703125,0.95
"$3\times 2,\;(3,2)$",8.25,0.7099761962890625,0.95
"$3\times 2,\;(3,2)$",8.5,0.7049407958984375,0.95
"$3\times 2,\;(3,2)$",8.75,0.70159912109375,0.95
"$3\times 2,\;(3,2)$",9.0,0.7078475952148438,0.95
"$3\times 2,\;(3,2)$",9.25,0.7044830322265625,0.95
"$3\times 2,\;(3,2)$",9.5,0.7011184692382812,0.95
"$3\times 2,\;(3,2)$",9.75,0.6952362060546875,0.95
"$3\times 2,\;(3,2)$",10.0,0.7045059204101562,0.95
"$3\times 2,\;(3,2)$",10.25,0.70306396484375,0.95
"$3\times 2,\;(3,2)$",10.5,0.69940185546875,0.95
"$3\times 2,\;(3,2)$",10.75,0.6945037841796875,0.95
"$3\times 2,\;(3,2)$",11.0,0.6939773559570312,0.95
"$3\times 2,\;(3,2)$",11.25,0.6934967041015625,0.95
"$3\times 2,\;(3,2)$",11.5,0.68548583984375,0.95
"$3\times 2,\;(3,2)$",11.75,0.687957763671875,0.95
"$3\times 2,\;(3,2)$",12.0,0.683837890625,0.95
"$3\times 2,\;(3,2)$",12.25,0.68255615234375,0.95
"$3\times 2,\;(3,2)$",12.5,0.6789398193359375,0.95
"$3\times 2,\;(3,2)$",12.75,0.6772232055664062,0.95
"$3\times 2,\;(3,2)$",13.0,0.6715011596679688,0.95
"$3\times 2,\;(3,2)$",13.25,0.6689376831054688,0.95
"$3\times 2,\;(3,2)$",13.5,0.666534423828125,0.95
"$3\times 2,\;(3,2)$",13.75,0.6687774658203125,0.95
"$3\times 2,\;(3,2)$",14.0,0.6659393310546875,0.95
"$3\times 2,\;(3,2)$",14.25,0.6637420654296875,0.95
"$3\times 2,\;(3,2)$",14.5,0.6653900146484375,0.95
"$3\times 2,\;(3,2)$",14.75,0.663421630859375,0.95
"$3\times 2,\;(3,2)$",15.0,0.65582275390625,0.95
"$3\times 2,\;(3,3)$",0.5,NaN,0.95
"$3\times 2,\;(3,3)$",0.75,NaN,0.95
"$3\times 2,\;(3,3)$",1.0,NaN,0.95
"$3\times 2,\;(3,3)$",1.25,NaN,0.95
"$3\times 2,\;(3,3)$",1.5,NaN,0.95
"$3\times 2,\;(3,3)$",1.75,1.2177734375,0.95
"$3\times 2,\;(3,3)$",2.0,0.90557861328125,0.95
