system_size,hilbert_space_size,gs_energy,order,overlap,energy
"N=(2, 2)_3x2",39,-7.465377242596813,4,0.9978822612185427,-7.432883056639815
"N=(2, 2)_3x2",39,-7.465377242596813,6,0.999038354947861,-7.450501487782328
"N=(2, 2)_3x2",39,-7.465377242596813,2,0.9915974660660509,-7.337996350671494
"N=(2, 2)_3x2",39,-7.465377242596813,8,0.9994442958515694,-7.456713727551014
"N=(2, 2)_3x2",39,-7.465377242596813,3,0.9962610242152569,-7.408289776035168
"N=(2, 2)_3x2",39,-7.465377242596813,1,0.9659513984005864,-6.9573814005233325
"N=(2, 2)_3x2",39,-7.465377242596813,exact,0.9999861301652954,-7.4650695269501846
"N=(2, 2)_3x2",39,-7.465377242596813,trotter,0.9999999999999827,-4.666666666666667
"N=(3, 2)_3x2",50,-6.493871206010645,4,0.9991418962988966,-6.484840670660456
"N=(3, 2)_3x2",50,-6.493871206010645,6,0.9996071015991511,-6.489527891997361
"N=(3, 2)_3x2",50,-6.493871206010645,2,0.9965679405441847,-6.459301885557943
"N=(3, 2)_3x2",50,-6.493871206010645,8,0.9997658337206514,-6.49114434932115
"N=(3, 2)_3x2",50,-6.493871206010645,3,0.9984801545900497,-6.478229560554368
"N=(3, 2)_3x2",50,-6.493871206010645,1,0.9860994104025086,-6.35790660115659
"N=(3, 2)_3x2",50,-6.493871206010645,exact,0.9999452414227322,-6.493054919305104
"N=(3, 2)_3x2",50,-6.493871206010645,trotter,0.9999999999999662,-6.493871206009858
"N=(3, 2)_3x3",336,-9.097712376514773,4,0.9954241404771685,-9.061037242104213
"N=(3, 2)_3x3",336,-9.097712376514773,6,0.9979327996942081,-9.080868207873799
"N=(3, 2)_3x3",336,-9.097712376514773,2,0.9814923325792917,-8.952214205766706
"N=(3, 2)_3x3",336,-9.097712376514773,8,0.998803474761112,-9.087772529341485
"N=(3, 2)_3x3",336,-9.097712376514773,3,0.9918652910558818,-9.033039503425227
"N=(3, 2)_3x3",336,-9.097712376514773,1,0.9236520271846291,-8.520853136517427
"N=(3, 2)_3x3",336,-9.097712376514773,exact,0.9999370259876103,-9.096781843239096
"N=(3, 2)_3x3",336,-9.097712376514773,trotter,0.9999943238816399,-9.097607567195993
"N=(3, 3)_3x2",68,-5.313594932617244,4,0.99975978687014,-5.310184383402561
"N=(3, 3)_3x2",68,-5.313594932617244,6,0.9998874998822895,-5.311971833239308
"N=(3, 3)_3x2",68,-5.313594932617244,2,0.9990324131965292,-5.300018948659659
"N=(3, 3)_3x2",68,-5.313594932617244,8,0.9999313395509581,-5.312585904017719
"N=(3, 3)_3x2",68,-5.313594932617244,3,0.9995765961840243,-5.3076217912360795
"N=(3, 3)_3x2",68,-5.313594932617244,1,0.9957297703930607,-5.254282065472978
"N=(3, 3)_3x2",68,-5.313594932617244,exact,0.9999860992563052,-5.313358229525158
"N=(3, 3)_3x2",68,-5.313594932617244,trotter,0.9999999998165716,-5.313594927753669
"N=(3, 3)_3x3",792,-9.342601021535458,4,0.9795760425355458,-9.160124991616502
"N=(3, 3)_3x3",792,-9.342601021535458,6,0.9903497843177678,-9.251441452840709
"N=(3, 3)_3x3",792,-9.342601021535458,2,0.9247278079397062,-8.740148886155566
"N=(3, 3)_3x3",792,-9.342601021535458,8,0.9942071218300396,-9.285234693697998
"N=(3, 3)_3x3",792,-9.342601021535458,3,0.9649074510750302,-9.04119870161507
"N=(3, 3)_3x3",792,-9.342601021535458,1,0.7246854645989171,-7.571564108696998
"N=(3, 3)_3x3",792,-9.342601021535458,exact,0.9993540133272601,-9.332502769002419
"N=(3, 3)_3x3",792,-9.342601021535458,trotter,0.9993321858822732,-9.330649755158825
"N=(3, 3)_4x2",392,-10.626897354717272,4,0.99961290496315,-10.62161900089397
"N=(3, 3)_4x2",392,-10.626897354717272,6,0.9997436050723092,-10.623374892462607
"N=(3, 3)_4x2",392,-10.626897354717272,2,0.9988842082318099,-10.611790778633564
"N=(3, 3)_4x2",392,-10.626897354717272,8,0.9997885186915876,-10.623976119754285
"N=(3, 3)_4x2",392,-10.626897354717272,3,0.9994268850958694,-10.619114096883525
"N=(3, 3)_4x2",392,-10.626897354717272,1,0.9957777330089447,-10.56959892255541
"N=(3, 3)_4x2",392,-10.626897354717272,exact,0.999842749761543,-10.624688445648546
"N=(3, 3)_4x2",392,-10.626897354717272,trotter,0.9999081786836016,-10.624845475234508
"N=(4, 3)_3x3",1176,-8.211914029126772,4,0.9894529404166754,-8.116427272854004
"N=(4, 3)_3x3",1176,-8.211914029126772,6,0.9941017587852576,-8.154092757741955
"N=(4, 3)_3x3",1176,-8.211914029126772,2,0.9651699372367311,-7.917972256075101
"N=(4, 3)_3x3",1176,-8.211914029126772,8,0.9957584594378417,-8.167346409979391
"N=(4, 3)_3x3",1176,-8.211914029126772,3,0.9830583106204425,-8.064293520180499
"N=(4, 3)_3x3",1176,-8.211914029126772,1,0.8713844904705831,-7.129382608505779
"N=(4, 3)_3x3",1176,-8.211914029126772,exact,0.9979894344345445,-8.183914379290936
"N=(4, 3)_3x3",1176,-8.211914029126772,trotter,0.9949887851366909,-8.125762755018968
"N=(4, 4)_3x3",1764,-7.284315627556128,4,0.9831386528804507,-7.127072929934788
"N=(4, 4)_3x3",1764,-7.284315627556128,6,0.9909341889754237,-7.187424144014479
