system,geometry,n_sites,nu,nd,n_momentum_sectors,U_min,U_max,U_step,gs_momentum_sectors,has_level_crossing,crossing_type,U_interval,U_lower,U_upper,U_crossing_estimate,crossing_sectors,gs_momenta_before,gs_momenta_after,overlap_v0,subspace_overlap,gap_before,gap_after,intersector_separation
"N=(2, 2)_3x2",3x2,6,2,2,6,0.25,15.0,0.25,(0|0),no,,,,,,,,,,,,,
"N=(3, 2)_3x2",3x2,6,3,2,6,0.25,15.0,0.25,(1|0);(2|0),no,,,,,,,,,,,,,
"N=(3, 2)_3x3",3x3,9,3,2,9,0.25,15.0,0.25,(0|1);(0|2);(1|0);(2|0),no,,,,,,,,,,,,,
"N=(3, 3)_3x2",3x2,6,3,3,6,0.25,15.0,0.25,(0|0),no,,,,,,,,,,,,,
"N=(3, 3)_3x3",3x3,9,3,3,9,0.25,15.0,0.25,(0|0),no,,,,,,,,,,,,,
"N=(3, 3)_4x2",4x2,8,3,3,8,0.25,15.0,0.25,(0|0),no,,,,,,,,,,,,,
"N=(4, 3)_3x3",3x3,9,4,3,9,0.25,15.0,0.25,(0|1);(0|2);(1|0);(2|0),yes,intra_sector,(5.75 - 6.0],5.75,6.0,5.9001,(0|1);(0|2);(1|0);(2|0),(0|1);(0|2);(1|0);(2|0),(0|1);(0|2);(1|0);(2|0),5.794e-10,0.999702,2.879866e-03,1.916094e-03,
"N=(4, 4)_3x3",3x3,9,4,4,9,0.25,15.0,0.25,(0|0),no,,,,,,,,,,,,,
"N=(4, 4)_3x3_separate",3x3,9,4,4,9,0.25,15.0,0.25,(0|0),no,,,,,,,,,,,,,
"N=(4, 4)_4x3",4x3,12,4,4,12,0.25,15.0,0.25,(0|0),no,,,,,,,,,,,,,
"N=(5, 4)_3x3",3x3,9,5,4,9,0.25,15.0,0.25,(0|1);(0|2);(1|0);(2|0),no,,,,,,,,,,,,,
"N=(5, 4)_4x3",4x3,12,5,4,12,0.25,15.0,0.25,(0|1);(0|2),no,,,,,,,,,,,,,
